"","Co-decision.DEC.amend","Co-decision.DEC.new","Co-decision.DIR.amend","Co-decision.DIR.new","Co-decision.REG.amend","Co-decision.REG.new","Commission.DEC.amend","Commission.DEC.new","Commission.DIR.amend","Commission.DIR.new","Commission.REG.amend","Commission.REG.new","Council.DEC.amend","Council.DEC.new","Council.DIR.amend","Council.DIR.new","Council.REG.amend","Council.REG.new"
"2003.1",2,3,19,5,4,5,87,146,25,3,240,840,28,69,4,4,50,34
"2003.2",0,5,16,1,15,10,98,161,31,3,268,795,28,93,8,4,47,26
"2004.1",6,7,22,8,20,17,121,147,35,5,248,823,24,103,9,5,61,34
"2004.2",3,0,3,1,4,1,68,125,18,2,255,706,30,115,2,2,46,42
"2005.1",2,3,4,0,6,1,97,113,23,4,196,771,20,90,4,0,36,17
"2005.2",3,5,18,4,7,5,85,141,24,3,280,792,27,87,3,3,38,28
"2006.1",1,4,17,3,6,3,101,136,32,1,262,672,29,81,3,0,51,17
"2006.2",3,11,18,1,24,11,100,177,40,4,285,590,30,79,23,0,61,35
"2007.1",5,3,2,2,4,3,79,145,33,2,193,510,33,83,1,1,30,28
"2007.2",4,6,10,4,9,5,99,143,18,0,210,504,27,102,3,0,46,26
"2008.1",3,6,34,2,18,4,82,121,23,2,170,355,31,97,5,0,40,24
"2008.2",1,8,14,3,19,7,94,154,32,0,240,382,28,84,8,1,53,24
"2009.1",5,4,29,6,27,2,57,105,21,0,168,315,20,80,6,2,36,8
"2009.2",2,11,42,3,20,10,96,132,45,3,224,409,31,119,9,0,42,20
"2010.1",4,11,4,0,5,1,59,105,31,0,201,327,23,89,4,1,23,15
"2010.2",2,27,8,3,21,6,62,92,34,3,213,393,34,104,3,0,20,25
"2011.1",1,5,8,1,12,3,75,107,54,0,214,353,51,101,2,0,36,24
"2011.2",3,28,11,3,25,8,69,126,16,0,246,393,81,99,3,2,45,23
"2012.1",2,5,5,1,18,3,43,91,11,0,213,302,52,101,0,0,34,14
"2012.2",2,22,10,1,16,9,72,81,22,2,196,402,51,116,1,0,45,18
"2013.1",2,5,11,0,23,10,38,77,12,0,223,323,45,91,13,0,30,21
"2013.2",2,13,8,2,44,4,66,106,25,0,201,467,60,91,6,1,37,27
"2014.1",2,14,30,10,58,17,49,98,25,2,217,348,62,145,1,0,47,13
"2014.2",0,24,3,4,8,5,65,122,16,1,194,426,66,127,4,1,38,12
"2015.1",0,11,5,1,24,2,55,94,7,1,176,338,62,92,2,1,43,5
"2015.2",1,13,7,1,16,1,65,91,10,1,202,433,68,127,2,0,35,4
"2016.1",0,6,7,4,25,3,45,80,9,1,190,354,48,125,3,0,35,5
"2016.2",0,15,4,3,23,0,83,108,7,0,152,398,68,117,1,2,27,2
"2017.1",1,6,4,0,18,6,60,79,8,0,222,314,67,105,2,0,40,1
"2017.2",5,10,10,0,25,3,69,91,6,0,214,265,71,114,1,1,33,5
"2018.1",3,7,11,1,11,2,71,60,14,0,192,145,68,98,3,0,47,1
"2018.2",1,9,4,2,32,4,71,84,15,0,205,183,74,115,4,0,42,8
"2019.1",3,0,23,3,53,13,77,68,5,2,229,136,58,131,2,0,24,5
"2019.2",0,0,0,0,0,0,7,12,0,0,12,8,1,7,0,0,1,3
